Country, Vaccinated, %
Albania, 1141486, 39.7
Austria, 6615101, 73.2
Belarus, 4356041, 46.1
Belgium, 8908853, 76.6
Bosnia and Herzegovina, 833233, 25.5
Bulgaria, 1904143, 27.6
Croatia, 2259393, 55.4
Cyprus, 664971, 74.2
Czech Republic, 6820236, 63.6
Denmark, 4805475, 82.7
Estonia, 842422, 63.6
Finland, 4352527, 78.5
France, 52866124, 78.2
Germany, 61682745, 73.5
Greece, 7469232, 72.0
Hungary, 6266064, 65.0
Iceland, 288241, 84.0
Italy, 48375501, 80.1
Kosovo, 887879, 49.8
Latvia, 1313320, 70.3
Lithuania, 1917552, 71.3
Malta, 444615, 86.2
Moldova, 989897, 24.6
Montenegro, 284030, 45.2
Netherlands, 13307938, 77.5
North Macedonia, 840411, 40.4
Norway, 4282767, 78.4
Poland, 21674039, 57.3
Portugal, 9180041, 90.3
Ireland, 3892818, 78.1
Romania, 7930488, 41.5
Russia, 73944505, 50.7
Serbia, 3309157, 48.2
Slovakia, 2720661, 49.8
Slovenia, 1250229, 60.1
Spain, 39619870, 84.8
Sweden, 7753150, 76.3
Switzerland, 5970895, 68.5
United Kingdom, 51771476, 75.9
